Expert,DDQN_1Mio,DDQN,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
7,0,0,1,0,1,0,2,1,0,2
2,0,6,1,0,0,0,1,1,0,1
6,0,3,1,0,0,0,1,3,1,2
9,13,5,1,0,0,0,1,1,1,1
14,0,19,1,1,0,1,1,2,1,1
7,0,6,1,0,0,0,1,2,1,2
19,0,1,1,0,0,0,1,1,1,2
9,0,3,1,0,0,0,1,5,0,1
15,0,10,1,1,1,0,2,1,2,2
11,2,5,1,0,0,1,2,1,0,2
14,0,3,2,0,0,1,1,1,1,1
12,4,6,1,0,0,0,1,2,2,1
14,0,4,2,0,1,0,1,1,1,2
9,0,5,1,0,0,0,1,2,1,1
10,1,2,2,0,1,0,1,3,1,3
5,0,2,2,0,0,0,1,2,1,1
13,5,5,1,1,0,0,1,1,1,1
11,0,2,1,0,0,1,2,2,2,1
8,0,3,1,0,0,0,1,1,0,1
4,0,6,2,0,1,2,1,1,1,2
19,2,5,2,0,1,0,1,1,2,1
10,0,0,2,0,0,0,1,1,3,2
14,0,10,2,0,0,0,1,3,0,1
3,0,3,1,0,0,0,2,1,0,2
0,0,3,1,0,0,0,1,2,2,2
13,3,1,1,0,0,0,1,1,0,1
1,0,3,1,0,0,0,1,2,0,1
11,0,1,2,0,0,0,1,1,0,1
7,1,1,2,0,0,0,1,2,2,1
9,0,2,2,0,0,1,1,2,4,2
10,,,,,,,,,,
15,,,,,,,,,,
11,,,,,,,,,,
17,,,,,,,,,,
8,,,,,,,,,,
6,,,,,,,,,,
8,,,,,,,,,,
18,,,,,,,,,,
17,,,,,,,,,,
9,,,,,,,,,,
7,,,,,,,,,,
23,,,,,,,,,,
4,,,,,,,,,,
6,,,,,,,,,,
11,,,,,,,,,,
11,,,,,,,,,,
9,,,,,,,,,,
11,,,,,,,,,,
31,,,,,,,,,,
6,,,,,,,,,,
6,,,,,,,,,,
14,,,,,,,,,,
8,,,,,,,,,,
15,,,,,,,,,,
11,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
20,,,,,,,,,,
18,,,,,,,,,,
8,,,,,,,,,,
