Expert,DDQN_1Mio,DDQN,Agent_16,Agent_17,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
39,25,0,1,0,1,0,1,0,8,0,3
16,66,6,1,0,0,0,1,0,0,4,3
27,66,2,0,2,0,0,1,0,2,5,9
53,44,2,1,0,1,0,0,0,2,5,3
50,26,28,0,0,1,0,0,0,2,7,4
16,56,5,0,0,0,0,0,0,0,7,9
91,37,0,0,0,1,0,3,0,2,5,5
38,58,1,1,1,0,0,2,0,2,3,4
71,43,10,1,0,1,0,2,0,5,11,17
50,30,9,1,0,0,0,1,1,2,6,5
82,74,1,1,0,0,0,1,0,1,9,10
48,24,2,0,0,0,0,2,1,1,8,11
68,118,1,0,0,1,0,0,0,1,5,13
50,55,6,1,0,1,0,1,0,2,6,3
53,81,0,1,0,0,0,3,1,0,7,7
22,54,0,1,0,0,0,2,0,0,3,3
57,50,15,0,0,1,0,1,0,3,11,4
43,61,0,1,0,0,0,0,1,3,1,5
22,58,0,1,0,0,0,1,0,1,2,5
21,30,1,0,0,1,0,2,2,1,6,3
48,29,3,2,0,0,3,2,0,2,8,12
13,84,1,0,0,0,0,2,0,1,9,2
65,59,13,1,0,1,0,1,0,1,2,4
2,62,6,1,0,0,0,0,0,0,3,6
3,165,2,0,0,2,1,0,1,2,4,4
56,40,0,1,0,2,0,5,0,4,8,5
12,61,2,1,0,0,1,2,0,1,1,2
24,34,1,0,0,0,0,2,0,1,5,4
22,27,1,1,0,1,0,1,0,6,4,6
41,67,1,1,0,0,1,1,0,2,10,4
28,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
