Expert,DDQN_1Mio,DDQN,Agent_16,Agent_17,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
312,158,290,382,279,576,267,864,276,393,237,270
120,325,140,420,272,277,298,345,264,330,268,253
251,351,176,488,293,288,404,308,1050,488,389,388
414,502,257,479,448,353,274,278,269,548,359,511
404,171,413,319,277,241,265,588,287,349,252,249
134,249,327,431,276,279,223,303,254,216,401,465
693,163,255,488,664,358,928,601,232,351,313,253
309,315,423,326,236,325,318,908,651,383,259,470
518,275,378,467,281,380,437,306,259,387,327,568
462,259,341,315,275,279,602,215,242,456,524,323
638,257,260,326,276,271,314,289,204,264,420,435
388,139,262,323,276,570,318,367,674,212,370,645
522,581,195,349,282,1037,605,301,362,230,241,350
388,284,310,355,275,301,277,411,546,665,403,251
406,403,223,248,253,297,496,359,292,222,292,646
203,272,213,269,274,375,360,262,383,242,340,350
499,313,217,268,445,269,339,298,256,489,342,310
375,323,234,294,272,471,321,270,233,346,308,285
216,259,218,383,276,313,275,358,451,267,242,325
158,350,271,208,276,258,263,566,314,269,356,324
452,273,279,304,274,285,954,185,701,350,362,499
175,320,361,328,238,347,437,506,469,247,304,164
512,301,361,306,281,620,278,284,287,165,277,347
27,310,247,567,276,590,448,435,323,193,454,225
34,628,489,300,278,631,385,290,331,464,260,318
520,254,232,309,274,253,275,689,188,210,438,256
73,316,164,343,284,545,563,312,593,237,245,241
194,270,183,354,277,289,278,512,407,247,305,248
193,251,270,223,275,373,276,384,449,731,327,339
397,274,316,237,276,435,469,281,407,408,359,359
310,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0
687,0,0,0,0,0,0,0,0,0,0,0
677,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0
674,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0
727,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0
