,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Expert (62),0.9972 (0.0508),0.6661 (0.0916),0.1750 (0.1375),0.7468 (0.0866),0.4333 (0.1085),0.5046 (0.1028),0.6781 (0.0908),0.8914 (0.0735)
DDQN 1Mio (30),0.2684 (0.1775),0.7221 (0.1251),0.0001 (0.3900),0.6321 (0.1333),0.2161 (0.1870),0.0124 (0.2838),0.0808 (0.2253),0.7513 (0.1225)
DDQN (30),* (0.4972),0.9412 (0.0968),0.1237 (0.2096),0.0026 (0.3247),0.0078 (0.2965),* (0.4125),0.6813 (0.1288),0.8353 (0.1134)
Agent 16 (30),0.8644 (0.1095),0.2829 (0.1751),* (0.4100),0.0001 (0.3934),0.0004 (0.3658),nan (nan),0.3694 (0.1624),0.2291 (0.1845)
Agent 18 (30),0.4495 (0.1524),0.0401 (0.2489),** (0.5306),0.0641 (0.2333),0.0006 (0.3570),nan (nan),0.0555 (0.2382),0.0344 (0.2538)
Agent 19 (30),0.0049 (0.3087),0.0727 (0.2290),* (0.4915),0.6091 (0.1355),* (0.4972),nan (nan),0.1535 (0.2012),0.0364 (0.2519)
Agent 21 (30),0.0033 (0.3188),0.1370 (0.2057),* (0.4811),0.2665 (0.1778),0.0975 (0.2185),nan (nan),0.1125 (0.2132),0.0801 (0.2256)
Agent 23 (30),0.0705 (0.2300),0.1854 (0.1935),* (0.5060),0.0076 (0.2972),* (0.4811),nan (nan),0.2147 (0.1873),0.1307 (0.2075)
Agent 34 (30),0.0869 (0.2227),0.5029 (0.1464),0.0063 (0.3022),0.1149 (0.2124),0.0119 (0.2851),** (0.5403),0.2694 (0.1773),0.1575 (0.2001)
Agent 42 (30),0.3260 (0.1685),0.5954 (0.1369),0.0427 (0.2469),0.6001 (0.1364),0.9161 (0.1016),** (0.5192),0.9741 (0.0881),0.3176 (0.1697)
Agent 43 (30),0.2680 (0.1776),0.2641 (0.1782),0.0005 (0.3636),0.0551 (0.2385),0.0293 (0.2587),** (0.5387),0.2078 (0.1887),0.5010 (0.1466)
