Expert,DDQN_1Mio,DDQN,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
4474,3045,3569,7420,11348,2591,16977,5114,5362,2725,3668
2061,8559,939,5981,3384,2580,5882,3009,3716,2638,3138
5315,8304,1262,7606,4477,4985,3191,22015,6356,6501,6068
3943,6815,3081,12261,5284,3384,3384,3195,9554,5418,5636
4643,2031,7394,3876,3061,4751,18250,4979,4439,2828,2334
713,5339,4120,8670,3384,2487,2489,2513,3184,7080,5070
8533,1808,2569,7368,5049,13219,5959,3421,4835,2529,8336
5981,5170,5464,3980,5758,4359,15661,12874,4325,3047,6705
9463,4712,3302,13336,5032,5168,3773,3441,5377,2800,7177
6858,2966,3786,4775,3384,15572,1730,3031,6660,7567,5581
8651,4451,4991,3438,3384,4359,4534,1867,3129,4271,6521
7194,234,3742,5797,16915,4359,7600,9982,3025,5375,15670
9045,12874,1290,3805,25704,13904,2986,4146,3489,1607,3474
5510,6169,3899,9068,5078,3384,5533,8653,13968,6674,2294
8720,8806,2189,2614,3685,4947,6076,3288,4314,2206,11639
2201,4710,3301,3311,5071,7260,3795,5343,4025,4681,3371
6192,6951,2225,3392,2171,5941,4945,2816,4241,4107,2705
5752,5405,1962,5523,9907,4572,5135,3212,4410,4069,3823
4076,3894,2250,5769,3771,2582,6144,5816,3252,2488,6949
3185,7188,1172,1806,3864,2497,13322,4553,4230,3383,4109
4669,5729,2186,4428,2997,23238,1881,12026,2810,2632,8122
4815,7109,6144,3204,4452,6973,7911,8365,2383,2781,2077
6825,6873,2968,3034,8249,3384,3393,2410,2089,2810,4048
2820,7340,3192,8608,14139,5109,7960,3008,2203,9563,1765
5960,14832,5356,4306,11888,5915,3865,4015,5470,6056,4325
7735,5529,3119,4238,3535,3684,9828,1711,1392,7544,2788
3849,8151,1296,4760,8367,7014,4753,16668,2250,2186,2109
2804,4237,2105,3799,4139,3384,7656,7419,2622,4123,2453
3930,4550,3899,2587,8391,3384,5735,9199,9085,4215,5036
5792,5891,4118,2313,8603,9678,2231,8169,7500,4233,1266
2321,,,,,,,,,,
4320,,,,,,,,,,
5407,,,,,,,,,,
8515,,,,,,,,,,
6154,,,,,,,,,,
4326,,,,,,,,,,
3788,,,,,,,,,,
9753,,,,,,,,,,
13003,,,,,,,,,,
2697,,,,,,,,,,
2990,,,,,,,,,,
12166,,,,,,,,,,
5431,,,,,,,,,,
1308,,,,,,,,,,
6493,,,,,,,,,,
3073,,,,,,,,,,
1528,,,,,,,,,,
5045,,,,,,,,,,
12816,,,,,,,,,,
4495,,,,,,,,,,
6955,,,,,,,,,,
2662,,,,,,,,,,
2519,,,,,,,,,,
7745,,,,,,,,,,
5492,,,,,,,,,,
1247,,,,,,,,,,
1797,,,,,,,,,,
8656,,,,,,,,,,
4971,,,,,,,,,,
6702,,,,,,,,,,
7359,,,,,,,,,,
5100,,,,,,,,,,
