Expert,DDQN_1Mio,DDQN,Agent_78,Agent_82,Agent_88,Agent_89,Agent_198,Agent_297,Agent_298,Agent_311,Agent_312,Agent_317,Agent_318,Agent_319,Agent_329,Agent_355,Agent_404,Agent_416,Agent_434,Agent_435,Agent_447,Agent_448,Agent_485,Agent_486,Agent_487
45,54,0,106,15,1,50,34,44,54,40,46,32,47,41,36,34,56,50,36,32,51,39,27,31,36
34,88,0,95,18,26,95,67,49,38,37,43,42,38,39,45,38,47,47,42,40,38,39,36,45,36
53,91,0,31,31,28,56,45,52,41,41,39,30,37,47,59,42,52,45,42,55,51,36,29,25,31
43,293,0,6,24,55,73,43,52,56,39,53,42,34,45,46,40,56,42,49,38,41,32,34,33,33
44,85,0,68,33,5,96,44,49,50,34,41,40,37,45,68,47,50,59,49,36,41,57,26,35,40
55,81,0,73,50,44,73,42,37,40,39,48,38,40,47,51,50,46,44,65,52,37,28,31,30,34
45,55,0,33,14,30,36,39,31,53,39,42,40,48,51,61,39,40,33,44,46,31,40,31,35,32
38,98,0,45,73,40,82,59,49,46,40,42,43,33,39,68,43,40,49,45,39,39,49,30,29,40
67,85,0,36,27,39,50,44,41,45,42,37,35,49,40,43,43,87,73,42,42,38,34,42,29,36
46,71,0,32,19,39,37,54,43,47,39,45,33,40,57,40,35,54,40,55,65,33,37,37,37,28
43,80,0,71,47,61,56,34,46,78,28,57,29,47,50,41,44,45,46,38,36,39,39,28,28,31
35,50,0,62,30,16,66,34,44,61,38,41,42,43,45,42,49,72,54,36,54,62,30,31,20,35
176,230,0,45,12,52,85,54,37,38,31,42,39,51,38,40,48,59,57,46,41,31,35,23,28,31
76,75,0,52,17,46,49,42,48,60,33,41,33,37,34,44,36,44,49,47,44,45,38,29,33,29
34,122,0,55,43,84,102,45,45,39,38,36,35,47,44,41,45,60,32,42,38,42,40,29,37,30
36,76,0,61,11,59,150,42,50,56,32,46,32,34,48,42,34,39,47,50,40,32,38,26,31,37
68,103,0,4,17,33,118,43,37,77,34,35,42,53,38,44,50,45,38,36,36,41,33,31,31,34
41,110,0,25,22,33,98,53,41,44,34,54,40,39,49,45,46,48,39,40,45,30,40,38,30,31
47,64,0,75,2,56,94,53,46,78,42,33,33,39,44,46,46,43,40,43,46,35,42,32,31,40
44,95,0,26,8,102,105,38,40,45,40,47,43,39,47,62,36,47,48,43,46,33,41,32,32,32
40,136,0,118,1,1,78,43,38,43,37,40,35,44,44,43,38,66,45,26,37,44,36,58,26,32
50,72,0,66,29,44,60,33,41,58,39,33,39,51,47,35,37,37,50,44,54,36,42,30,32,27
129,67,0,68,76,28,82,43,39,53,32,37,32,37,50,48,28,40,44,43,46,34,45,34,30,37
61,136,0,51,43,41,59,58,47,38,45,37,42,41,48,51,56,39,46,36,34,35,58,29,38,27
59,103,0,43,1,8,15,86,61,53,35,48,32,39,38,37,44,43,50,37,48,38,41,30,25,28
47,114,0,50,59,27,47,41,36,70,30,37,41,36,37,52,45,41,47,40,48,42,38,43,29,28
60,107,0,61,17,57,54,50,51,38,48,39,40,36,41,44,32,45,40,38,43,37,49,38,30,41
41,119,0,60,62,61,70,54,39,51,32,41,29,36,43,41,43,56,54,42,48,37,33,35,27,37
43,127,0,72,13,20,66,36,54,41,35,45,26,57,38,41,35,72,38,38,43,40,39,34,31,33
48,68,0,17,29,75,52,55,43,37,40,47,34,41,48,57,31,70,68,45,43,28,32,35,33,34
44,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,
