,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 78 (30),2.8970,-0.8630,1.3712,1.8790,1.8476,1.2873,0.8541,-0.0430
Agent 82 (30),1.9831,-0.4513,1.8603,2.1662,2.0200,0.6749,0.6461,-0.1496
Agent 88 (30),2.4456,-0.0384,1.8122,1.9668,1.4229,0.5680,0.7347,0.3728
Agent 89 (30),3.7179,-1.0146,3.4397,1.9132,1.6490,0.3837,0.4452,-0.1877
Agent 198 (30),6.0192,-1.4479,5.1175,1.6397,3.0877,nan,-0.1052,-0.4516
Agent 297 (30),9.8370,-0.9089,2.6952,1.6997,2.7108,0.8613,0.3157,-0.1400
Agent 298 (30),5.9750,-0.4406,2.3135,2.0255,3.7366,0.8417,0.8854,-0.1816
Agent 311 (30),11.7252,-0.8432,3.9554,2.6757,2.6756,1.0647,0.3699,-0.1232
Agent 312 (30),10.2275,-0.2855,3.1998,2.4690,2.7212,1.4153,0.8738,0.1103
Agent 317 (30),10.5514,-0.5837,3.1047,2.6366,3.7606,1.0546,0.3375,0.1107
Agent 318 (30),9.5229,-0.4363,3.9474,1.1271,2.6285,1.3341,0.4255,0.2388
Agent 319 (30),12.2229,-1.5747,4.7605,0.7178,2.1869,0.9258,-0.2007,-0.0660
Agent 329 (30),7.5571,-1.6291,1.9089,3.7703,4.9538,0.6659,-0.2946,-0.5506
Agent 355 (30),8.9851,-1.0351,3.5565,3.1463,4.8554,1.2505,-0.0039,-0.4706
Agent 404 (30),6.0667,-0.6574,3.9351,4.7216,4.6933,0.9885,0.7277,0.0015
Agent 416 (30),7.5450,-0.4019,5.0186,2.7547,3.0870,1.7342,0.5806,-0.0072
Agent 434 (30),8.8292,-0.7304,3.7068,2.3193,2.8141,1.8391,0.3850,-0.2214
Agent 435 (30),8.7083,-1.4788,4.1922,3.4800,3.4563,1.3641,0.2598,-0.4075
Agent 447 (30),7.9043,-0.3777,6.5250,3.5601,3.7533,1.5811,0.5300,-0.1637
Agent 448 (30),8.1877,-0.4932,8.0362,3.5033,4.0150,1.4771,0.7896,-0.0569
Agent 485 (30),7.1870,-0.7773,3.1509,3.7448,4.0182,1.9999,0.8164,0.2850
Agent 486 (30),9.5698,-0.9599,3.6426,4.0317,3.5898,2.0761,0.5702,-0.1761
Agent 487 (30),11.7769,-1.2196,3.6972,3.5752,4.0388,2.2582,0.7410,-0.1039
