,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 78 (30),-1.2231,2.8377,0.6550,-1.3089,-2.1253,0.4966,0.3157,-1.0391
Agent 82 (30),-1.9594,2.5149,0.6847,-0.6520,-2.3530,-0.8557,0.2470,-1.1189
Agent 88 (30),-1.5936,2.6352,0.0522,-2.0936,-2.1635,-0.9922,0.3453,-0.6757
Agent 89 (30),-0.7536,2.2024,1.4021,-2.2879,-2.4630,-0.8731,0.0828,-1.1217
Agent 198 (30),-1.5368,1.9878,3.5341,-2.3534,-2.3415,-1.2252,-0.3068,-1.2986
Agent 297 (30),-1.6358,1.9427,1.0836,-1.5784,-1.7850,-0.6784,0.0266,-1.0627
Agent 298 (30),-1.4183,2.3248,1.3259,-1.6272,-1.5762,-0.4090,0.4336,-1.1641
Agent 311 (30),-1.8493,1.7429,2.1295,-1.2702,-1.5656,0.2823,0.0931,-1.0711
Agent 312 (30),-1.6929,2.3030,1.6299,-1.8333,-1.2192,0.6766,0.4725,-0.9022
Agent 317 (30),-1.8669,2.3937,1.6801,-2.4216,-2.3094,-0.1735,-0.0051,-0.9432
Agent 318 (30),-1.7125,2.3920,1.8384,-2.5293,-2.3873,-0.1596,0.0796,-0.7881
Agent 319 (30),-1.6483,2.9843,2.5665,-2.7423,-2.6503,-0.5821,-0.3667,-1.0994
Agent 329 (30),-1.5455,2.0513,1.5076,-2.5261,-2.4112,-1.0775,-0.4233,-1.3388
Agent 355 (30),-1.7264,1.9049,2.4797,-2.3920,-2.3522,-0.3896,-0.2284,-1.2918
Agent 404 (30),-1.4087,2.3833,1.4148,-1.7896,-1.8927,-0.8943,0.2826,-0.9322
Agent 416 (30),-1.5445,1.8249,1.0144,-1.6263,-1.7861,0.2451,0.2842,-0.9113
Agent 434 (30),-1.6821,1.4587,1.3422,-0.5806,-1.9408,-0.2265,0.1366,-1.1109
Agent 435 (30),-1.6467,2.0335,1.3796,-1.2296,-1.8498,-0.3984,-0.0645,-1.2630
Agent 447 (30),-1.7934,2.1452,2.4716,-2.2232,-1.9985,-0.2691,0.1895,-1.1379
Agent 448 (30),-1.7760,2.4673,3.3570,-1.7720,-1.7761,-0.1028,0.3276,-1.0932
Agent 485 (30),-1.9596,2.2233,1.9652,-0.8744,-1.2738,1.4303,0.3925,-0.7577
Agent 486 (30),-2.0222,1.7663,2.1800,-0.6377,-1.0742,1.0281,0.2403,-1.1435
Agent 487 (30),-1.9585,1.9310,2.1886,-0.4419,-0.6218,1.0391,0.3397,-1.0957
