,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 78 (30),-0.0706,0.7664,-1.0981,-1.5200,-1.9796,-1.1327,-0.4548,-0.4199
Agent 82 (30),-1.2243,0.8753,-1.1125,-0.8092,-2.1674,-1.4292,-0.4703,-0.4845
Agent 88 (30),-0.6391,1.1206,-1.1894,-2.3332,-2.0229,-1.4458,-0.3641,-0.1032
Agent 89 (30),0.6642,0.5409,-1.0380,-2.5325,-2.2638,-1.4382,-0.6202,-0.5046
Agent 198 (30),-0.4222,0.3129,-0.6841,-2.6016,-2.1507,-1.4730,-0.9509,-0.6225
Agent 297 (30),-0.5755,0.5037,-1.0702,-1.8059,-1.6739,-1.4048,-0.6394,-0.4720
Agent 298 (30),-0.2177,0.8332,-1.0082,-1.8516,-1.4783,-1.3669,-0.3059,-0.5026
Agent 311 (30),-0.9655,0.4641,-0.9329,-1.4702,-1.4853,-1.1955,-0.5584,-0.4646
Agent 312 (30),-0.6792,0.9077,-0.9944,-2.0601,-1.1807,-1.0642,-0.2382,-0.3094
Agent 317 (30),-0.9990,0.7816,-0.9803,-2.6669,-2.1204,-1.3235,-0.7005,-0.3259
Agent 318 (30),-0.7164,0.8526,-0.9830,-2.7843,-2.1924,-1.3211,-0.6158,-0.2091
Agent 319 (30),-0.5939,0.5524,-0.8853,-3.0015,-2.4230,-1.3911,-1.0134,-0.4440
Agent 329 (30),-0.4224,0.2746,-0.8400,-2.7742,-2.2089,-1.4543,-1.0445,-0.6827
Agent 355 (30),-0.7431,0.4387,-0.8110,-2.6351,-2.1564,-1.3596,-0.8751,-0.6566
Agent 404 (30),-0.1996,0.7447,-1.0435,-2.0044,-1.7504,-1.4303,-0.4547,-0.3678
Agent 416 (30),-0.4206,0.7053,-1.0954,-1.8427,-1.6692,-1.2437,-0.3647,-0.3652
Agent 434 (30),-0.6628,0.4080,-1.0502,-0.7307,-1.8064,-1.3319,-0.4847,-0.5235
Agent 435 (30),-0.5988,0.3176,-1.0505,-1.4220,-1.7205,-1.3602,-0.7530,-0.6202
Agent 447 (30),-0.8683,0.8165,-0.9360,-2.4590,-1.8480,-1.3392,-0.4986,-0.4930
Agent 448 (30),-0.8359,0.8433,-0.8385,-1.9898,-1.6514,-1.3110,-0.4169,-0.4390
Agent 485 (30),-1.1736,0.6469,-0.9178,-1.0447,-1.2081,-0.6922,-0.3340,-0.1772
Agent 486 (30),-1.2869,0.4220,-0.9048,-0.7911,-1.0352,-1.0208,-0.4379,-0.4995
Agent 487 (30),-1.1679,0.3755,-0.9066,-0.5802,-0.6188,-1.0424,-0.3764,-0.4596
