Expert,DDQN_1Mio,DDQN,Agent_78,Agent_82,Agent_88,Agent_89,Agent_198,Agent_297,Agent_298,Agent_311,Agent_312,Agent_317,Agent_318,Agent_319,Agent_329,Agent_355,Agent_404,Agent_416,Agent_434,Agent_435,Agent_447,Agent_448,Agent_485,Agent_486,Agent_487
162,158,275,350,478,204,270,265,474,456,246,430,269,437,286,277,163,367,625,322,284,278,418,312,558,222
296,325,277,356,529,287,327,154,543,196,267,568,311,256,249,220,311,221,243,183,213,216,464,399,296,389
368,351,275,202,344,287,239,279,329,396,473,257,317,226,281,344,195,390,85,284,407,289,259,228,343,318
262,502,277,271,399,404,335,267,273,297,409,527,378,223,259,417,347,236,235,272,337,275,498,412,207,201
305,171,276,294,367,616,513,257,221,219,157,373,131,181,305,355,541,382,416,180,325,250,506,258,181,490
574,249,279,521,261,488,183,250,343,390,187,477,410,303,335,284,209,278,174,440,262,463,380,336,440,353
331,163,274,521,422,305,215,242,167,215,275,436,207,352,234,400,198,265,293,540,274,206,396,280,548,237
224,315,279,288,391,256,338,277,217,382,433,272,385,420,309,313,467,327,360,250,279,302,244,551,300,506
486,275,274,443,325,341,320,199,248,355,447,276,342,280,211,239,268,492,738,690,273,308,510,380,166,209
501,259,278,358,195,328,190,346,244,367,515,233,292,227,278,271,163,343,226,361,305,162,256,287,299,355
261,257,274,310,325,340,321,278,206,501,304,326,268,680,301,345,429,213,284,451,291,425,247,143,334,383
282,139,275,352,288,438,532,233,352,538,171,546,440,336,259,226,238,567,509,338,489,481,230,304,297,249
359,581,275,283,186,306,291,207,124,341,391,251,118,323,232,157,279,264,318,143,235,312,339,389,507,461
335,284,278,454,412,361,218,328,258,276,165,233,196,184,275,266,168,152,374,101,297,393,250,438,225,557
123,403,278,296,243,485,335,147,313,196,186,390,219,374,203,230,285,458,440,323,227,421,275,408,365,175
361,272,279,260,465,524,423,241,190,314,268,278,175,198,199,235,276,410,201,539,226,423,278,297,570,260
692,313,279,363,204,280,424,273,204,559,529,235,434,353,228,229,320,346,302,234,182,638,321,467,193,294
200,323,277,187,333,259,424,231,412,282,193,495,329,436,283,196,237,351,290,152,316,257,244,396,229,223
437,259,397,380,203,312,259,207,344,375,399,282,231,293,348,352,276,288,357,336,335,278,310,398,343,376
429,350,279,254,163,428,285,228,264,346,222,175,433,270,250,353,285,421,207,434,322,313,377,184,327,510
204,273,277,496,398,379,370,223,273,291,345,409,368,284,325,186,280,505,304,367,237,436,232,556,189,381
549,320,275,349,302,232,255,383,213,422,291,374,260,258,322,162,164,236,290,512,305,344,460,280,354,567
493,301,276,340,354,241,298,337,222,564,172,210,299,360,227,374,338,216,292,605,234,344,504,555,205,408
350,310,279,303,344,225,510,255,234,314,471,228,332,174,387,220,303,324,504,238,162,194,270,492,512,388
549,628,274,347,222,216,172,437,602,292,411,448,445,305,243,221,396,342,388,213,411,207,334,250,281,350
375,254,277,203,454,217,233,342,384,167,279,496,272,346,392,196,401,341,224,294,488,489,167,254,393,231
565,316,248,316,230,299,300,419,431,296,523,273,222,373,283,228,290,262,397,180,429,120,370,433,380,281
514,270,350,307,245,551,258,490,310,307,163,431,381,269,265,299,176,220,572,213,333,217,432,307,127,407
341,251,279,312,291,170,233,281,418,527,442,606,346,322,269,134,263,386,278,217,124,429,269,201,358,258
295,274,278,339,551,512,326,208,420,357,137,231,321,349,189,253,194,406,273,255,357,301,309,227,444,216
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
