,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Expert (62),True,True,False,True,True,False,True,True
DDQN 1Mio (30),True,True,False,True,True,False,True,True
DDQN (30),False,False,False,False,False,False,False,False
Agent 78 (30),True,True,False,True,True,True,True,True
Agent 82 (30),True,True,False,True,True,False,True,True
Agent 88 (30),True,True,False,True,True,False,True,True
Agent 89 (30),True,True,False,True,False,False,True,True
Agent 198 (30),True,True,True,True,False,False,True,True
Agent 297 (30),True,True,True,True,True,False,True,True
Agent 298 (30),True,True,True,True,True,False,True,True
Agent 311 (30),True,True,True,True,True,True,True,True
Agent 312 (30),True,True,False,True,True,True,True,True
Agent 317 (30),True,True,True,True,True,False,True,True
Agent 318 (30),True,True,True,False,True,True,True,True
Agent 319 (30),True,True,True,False,True,False,True,True
Agent 329 (30),True,True,True,True,True,False,True,True
Agent 355 (30),True,True,True,True,True,False,True,True
Agent 404 (30),True,True,True,True,True,False,True,True
Agent 416 (30),True,True,False,True,True,True,True,True
Agent 434 (30),True,True,False,True,True,False,True,True
Agent 435 (30),True,True,False,True,True,False,True,True
Agent 447 (30),True,True,True,True,True,True,True,True
Agent 448 (30),True,True,True,True,True,False,True,True
Agent 485 (30),True,True,True,True,True,True,True,True
Agent 486 (30),True,True,True,True,True,True,True,True
Agent 487 (30),True,True,True,True,True,True,True,True
