,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 78 (30),False,False,False,False,False,False,False,False
Agent 82 (30),False,False,False,False,False,False,False,False
Agent 88 (30),False,False,False,False,False,False,False,False
Agent 89 (30),False,False,False,False,False,True,False,False
Agent 198 (30),False,False,False,False,False,False,False,False
Agent 297 (30),False,False,False,False,False,False,False,False
Agent 298 (30),False,False,False,False,False,False,False,False
Agent 311 (30),False,False,False,False,False,False,False,False
Agent 312 (30),False,False,False,False,False,False,False,False
Agent 317 (30),False,False,False,False,False,False,False,False
Agent 318 (30),False,False,False,False,False,False,False,False
Agent 319 (30),False,False,False,False,False,False,False,False
Agent 329 (30),False,False,False,False,False,False,False,False
Agent 355 (30),False,False,False,False,False,False,False,False
Agent 404 (30),False,False,False,False,False,False,False,False
Agent 416 (30),False,False,False,False,False,False,False,False
Agent 434 (30),False,False,False,False,False,False,False,False
Agent 435 (30),False,False,False,False,False,False,False,False
Agent 447 (30),False,False,False,False,False,False,False,False
Agent 448 (30),False,False,False,False,False,False,False,False
Agent 485 (30),False,False,False,False,False,False,False,False
Agent 486 (30),False,False,False,False,False,False,False,False
Agent 487 (30),False,False,False,False,False,False,False,False
