,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 78 (30),True,False,True,True,False,False,True,True
Agent 82 (30),True,False,True,True,False,False,True,True
Agent 88 (30),True,False,True,False,False,False,True,True
Agent 89 (30),True,False,True,False,False,False,True,True
Agent 198 (30),False,False,False,False,False,False,True,False
Agent 297 (30),False,False,True,True,False,False,True,True
Agent 298 (30),False,False,False,True,False,True,True,False
Agent 311 (30),False,False,True,True,False,True,True,True
Agent 312 (30),False,False,True,False,True,False,False,True
Agent 317 (30),False,False,True,False,False,True,True,True
Agent 318 (30),False,False,True,False,False,True,True,True
Agent 319 (30),False,True,True,False,False,True,True,False
Agent 329 (30),False,False,False,False,False,False,True,False
Agent 355 (30),False,False,False,False,False,True,True,True
Agent 404 (30),False,False,True,False,False,False,True,True
Agent 416 (30),False,False,True,False,False,True,True,True
Agent 434 (30),False,False,True,True,False,True,True,True
Agent 435 (30),False,False,True,False,False,True,True,True
Agent 447 (30),False,False,True,False,False,True,True,True
Agent 448 (30),False,False,True,False,False,True,True,False
Agent 485 (30),False,False,True,False,False,False,True,True
Agent 486 (30),False,False,True,True,False,False,True,True
Agent 487 (30),False,False,True,True,True,True,True,True
