,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 78 (30),** (46.2456),* (21.9773),0.0006 (13.2123),* (22.1694),* (28.6129),* (33.5289),* (22.5710),* (18.9188)
Agent 82 (30),** (38.6952),* (32.4886),* (17.4775),** (37.1938),* (20.5956),0.0128 (6.6050),** (42.7184),* (27.8629)
Agent 88 (30),** (43.5732),* (22.7775),* (23.7273),* (31.5987),* (19.7584),0.0347 (4.6774),* (29.7401),0.0001 (17.1215)
Agent 89 (30),** (46.0567),* (21.4364),0.0006 (13.0968),* (23.0036),0.0042 (8.8686),0.1494 (2.1350),* (27.0734),* (20.7439)
Agent 198 (30),* (24.3215),* (18.7665),** (39.3962),0.0001 (17.3681),0.0015 (11.1689),nan (nan),* (18.5311),* (24.3472)
Agent 297 (30),** (57.2658),* (24.7312),* (28.1128),* (26.9833),* (34.3375),0.0018 (10.7567),* (29.2916),* (23.7844)
Agent 298 (30),** (45.2300),* (26.4297),** (55.9449),** (41.6485),** (49.6783),0.0006 (13.2477),* (32.9270),* (25.3577)
Agent 311 (30),** (50.1600),** (50.5559),** (37.6392),** (53.6361),* (34.5535),* (20.1782),** (57.2289),** (41.3474)
Agent 312 (30),** (43.7585),** (51.6239),* (27.3162),* (29.5462),* (31.1981),* (35.5882),*** (77.4329),** (37.2031)
Agent 317 (30),*** (135.8530),** (39.4448),* (31.3113),** (51.6861),** (40.7303),0.0001 (16.5670),* (36.4023),** (39.0426)
Agent 318 (30),** (37.8533),* (21.7798),** (39.4722),0.0047 (8.6374),* (23.3163),* (32.8520),* (20.9014),* (26.0907)
Agent 319 (30),** (59.8783),0.0002 (15.2451),** (37.2231),0.0083 (7.4710),** (54.3185),0.0008 (12.4286),* (17.6036),* (31.6498)
Agent 329 (30),* (26.1422),* (24.5258),* (18.7818),* (30.6675),** (49.3280),0.0139 (6.4299),* (29.0202),* (36.0037)
Agent 355 (30),*** (62.3538),* (23.3290),* (34.9678),* (30.3832),* (17.8767),* (34.0435),* (24.0397),* (29.7604)
Agent 404 (30),* (29.6178),** (37.7022),** (42.6194),** (41.5673),** (53.9574),0.0004 (14.1679),* (34.3004),0.0004 (14.1812)
Agent 416 (30),* (30.3405),* (22.5434),* (24.5777),* (26.4312),* (23.7848),** (48.6011),* (21.2108),0.0003 (14.6907)
Agent 434 (30),* (25.6826),* (31.5595),0.0033 (9.4156),* (21.9119),* (28.8549),* (22.6762),* (34.2138),* (36.9121)
Agent 435 (30),** (41.5430),* (21.4005),0.0010 (12.0432),** (52.0419),* (22.3151),* (29.2283),* (25.0440),** (43.0348)
Agent 447 (30),* (28.5092),* (29.9865),** (39.5455),*** (69.0559),** (50.1228),* (26.9486),* (31.5037),* (36.2361)
Agent 448 (30),* (27.2283),** (38.8731),** (46.3744),** (40.7647),** (60.7375),0.0003 (15.1945),** (41.5736),* (29.3059)
Agent 485 (30),* (20.2020),* (36.3944),* (28.6679),** (48.6813),** (53.6377),* (29.9497),** (45.6807),* (22.3429)
Agent 486 (30),* (28.6589),* (31.2903),** (41.3603),** (44.6449),** (40.0790),*** (62.2414),** (38.9029),** (39.0123)
Agent 487 (30),*** (64.1593),** (44.6336),* (36.1855),* (24.0378),* (35.2940),*** (65.6115),** (49.4475),* (28.1067)
