,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 78 (30),0.2271 (1.4903),0.0113 (6.8449),0.3218 (0.9985),0.1622 (2.0041),0.0019 (10.5556),0.0358 (4.6218),0.7051 (0.1446),0.1110 (2.6191)
Agent 82 (30),0.0682 (3.4528),0.0003 (15.0853),0.6807 (0.1711),0.9896 (0.0002),0.0002 (15.7854),0.0034 (9.3300),0.4242 (0.6478),0.0760 (3.2632)
Agent 88 (30),0.1305 (2.3532),0.0014 (11.2704),0.3816 (0.7773),0.0031 (9.5422),0.0026 (9.9451),0.0005 (13.5694),0.3312 (0.9603),0.3524 (0.8788)
Agent 89 (30),0.2859 (1.1602),0.0056 (8.2706),0.8541 (0.0341),0.0005 (13.8167),* (18.6737),0.0029 (9.6954),0.8634 (0.0298),0.1010 (2.7774)
Agent 198 (30),0.0048 (8.5918),0.0156 (6.2072),0.0290 (5.0128),0.0003 (14.6364),* (19.5920),* (22.9751),0.5052 (0.4495),0.0102 (7.0550)
Agent 297 (30),0.0015 (11.0554),0.0012 (11.5699),0.6202 (0.2482),0.0898 (2.9760),0.0046 (8.6767),0.0272 (5.1324),0.3753 (0.7981),0.2779 (1.1998)
Agent 298 (30),0.0089 (7.3366),0.0007 (12.7656),0.0260 (5.2206),0.0614 (3.6375),0.0026 (9.9278),0.2348 (1.4416),0.4722 (0.5237),0.0258 (5.2362)
Agent 311 (30),0.0008 (12.5162),* (28.8133),0.2309 (1.4659),0.0860 (3.0511),0.0140 (6.4207),0.1714 (1.9177),0.0520 (3.9362),0.2671 (1.2557)
Agent 312 (30),0.0012 (11.5851),* (29.2630),0.2963 (1.1109),0.0052 (8.4229),0.0669 (3.4863),0.0189 (5.8349),0.0465 (4.1402),0.4287 (0.6352)
Agent 317 (30),0.0011 (11.8045),* (18.9756),0.2425 (1.3946),0.0001 (17.4141),* (18.4825),0.5052 (0.4496),0.8670 (0.0283),0.2232 (1.5157)
Agent 318 (30),0.0014 (11.2569),0.0028 (9.7360),0.4880 (0.4870),0.0001 (17.2633),* (18.2699),0.3622 (0.8435),0.9453 (0.0047),0.4280 (0.6371)
Agent 319 (30),0.0010 (11.9859),0.1639 (1.9878),0.3280 (0.9730),* (22.1021),* (22.1363),0.0699 (3.4093),0.0769 (3.2436),0.0436 (4.2571)
Agent 329 (30),0.0027 (9.8118),0.0056 (8.2850),0.0072 (7.7718),* (21.0694),* (20.7701),0.0001 (16.7746),0.6112 (0.2613),0.0346 (4.6813)
Agent 355 (30),0.0017 (10.8216),0.0022 (10.2355),0.0248 (5.3096),* (18.5218),* (20.7436),0.1224 (2.4571),0.9810 (0.0006),0.0638 (3.5720)
Agent 404 (30),0.0076 (7.6484),* (17.6357),0.8954 (0.0174),0.0004 (13.9374),0.0003 (14.9660),0.0019 (10.5403),0.6955 (0.1548),0.3184 (1.0130)
Agent 416 (30),0.0026 (9.9379),0.0007 (12.8700),0.3442 (0.9094),0.0079 (7.5787),0.0015 (11.0843),0.8890 (0.0196),0.2279 (1.4854),0.4120 (0.6827)
Agent 434 (30),0.0013 (11.4209),* (19.1778),0.7164 (0.1333),0.5518 (0.3582),0.0010 (12.0901),0.0601 (3.6780),0.0627 (3.6021),0.3695 (0.8180)
Agent 435 (30),0.0018 (10.7463),0.0099 (7.1213),0.7088 (0.1408),0.0188 (5.8482),0.0005 (13.4701),0.0648 (3.5421),0.7978 (0.0662),0.0733 (3.3261)
Agent 447 (30),0.0014 (11.2475),0.0002 (16.1543),0.9473 (0.0044),0.0002 (16.0953),0.0003 (14.4601),0.0956 (2.8702),0.3640 (0.8371),0.0699 (3.4101)
Agent 448 (30),0.0013 (11.3987),* (18.8903),0.8949 (0.0176),0.0014 (11.2072),0.0009 (12.1732),0.2216 (1.5268),0.5148 (0.4296),0.0440 (4.2409)
Agent 485 (30),0.0011 (11.7346),0.0001 (17.1228),0.0629 (3.5966),0.0493 (4.0308),0.0071 (7.7798),0.0024 (10.0817),0.2376 (1.4242),0.3756 (0.7973)
Agent 486 (30),0.0007 (12.8698),0.0002 (15.7842),0.0853 (3.0641),0.0683 (3.4509),0.0269 (5.1543),0.0286 (5.0417),0.1872 (1.7815),0.0728 (3.3386)
Agent 487 (30),0.0007 (12.8181),* (20.8512),0.1225 (2.4568),0.1229 (2.4504),0.0649 (3.5396),0.0741 (3.3092),0.2250 (1.5039),0.0766 (3.2504)
