,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 78 (30),0.1003 (2.7649),0.1155 (2.5324),0.0199 (5.6416),0.0581 (3.6974),* (20.0806),0.1317 (2.3192),0.0066 (7.7713),0.0917 (2.9141)
Agent 82 (30),0.5657 (0.3327),0.8905 (0.0191),0.0150 (6.1790),0.9276 (0.0083),* (28.2029),0.0102 (6.9214),0.1371 (2.2558),0.0601 (3.6376)
Agent 88 (30),0.2568 (1.3047),0.8668 (0.0283),0.0097 (7.0302),* (19.9150),* (19.1497),0.0083 (7.3337),0.2718 (1.2247),0.3758 (0.7933)
Agent 89 (30),0.0631 (3.5523),0.3589 (0.8515),0.0121 (6.5946),* (29.4024),* (32.6220),0.0090 (7.1690),0.0352 (4.5920),0.0825 (3.0924)
Agent 198 (30),0.1724 (1.8957),0.1682 (1.9340),0.0301 (4.8749),* (31.1693),* (33.9676),0.0058 (8.0434),0.0027 (9.6166),0.0044 (8.6038)
Agent 297 (30),0.0371 (4.4922),0.9090 (0.0131),0.0153 (6.1454),0.0193 (5.6994),* (17.0613),0.0139 (6.3303),0.2267 (1.4843),0.2931 (1.1199)
Agent 298 (30),0.3568 (0.8591),0.9571 (0.0029),0.0288 (4.9549),0.0090 (7.1644),* (19.0400),0.0213 (5.5134),0.1371 (2.2549),0.0148 (6.2074)
Agent 311 (30),0.0129 (6.4751),0.1864 (1.7760),0.0196 (5.6688),0.0167 (5.9759),0.0005 (13.3514),0.0948 (2.8575),0.9084 (0.0133),0.2955 (1.1088)
Agent 312 (30),0.0254 (5.1879),0.1989 (1.6784),0.0189 (5.7422),* (17.4132),0.0052 (8.2457),0.1552 (2.0588),0.8315 (0.0456),0.5080 (0.4421)
Agent 317 (30),0.0219 (5.4648),0.9402 (0.0057),0.0197 (5.6658),** (37.6965),* (32.2412),0.0274 (5.0462),0.0280 (5.0104),0.2373 (1.4179)
Agent 318 (30),0.0320 (4.7637),0.7413 (0.1097),0.0163 (6.0274),** (36.9613),* (31.9454),0.0254 (5.1906),0.0315 (4.7899),0.4922 (0.4760)
Agent 319 (30),0.0191 (5.7244),0.0048 (8.4371),0.0181 (5.8265),** (48.1600),** (37.7250),0.0164 (6.0118),* (19.3903),0.0301 (4.8787)
Agent 329 (30),0.0832 (3.0787),0.1708 (1.9104),0.0695 (3.3847),** (45.8966),** (35.6781),0.0074 (7.5480),0.0036 (8.9972),0.0227 (5.3943)
Agent 355 (30),0.0438 (4.1970),0.6782 (0.1734),0.0320 (4.7629),** (40.1372),** (35.6595),0.0197 (5.6671),0.0209 (5.5533),0.0485 (4.0153)
Agent 404 (30),0.2932 (1.1196),0.9311 (0.0075),0.0134 (6.3961),* (29.8356),* (26.8853),0.0101 (6.9343),0.0557 (3.7708),0.3255 (0.9786)
Agent 416 (30),0.0773 (3.2023),0.3105 (1.0416),0.0094 (7.0739),0.0002 (15.5166),* (20.9338),0.0354 (4.5812),0.5895 (0.2935),0.4452 (0.5885)
Agent 434 (30),0.0282 (4.9930),0.1042 (2.7019),0.0113 (6.7186),0.4593 (0.5530),* (22.4893),0.0168 (5.9667),0.8997 (0.0160),0.4281 (0.6345)
Agent 435 (30),0.0457 (4.1199),0.1649 (1.9641),0.0113 (6.7222),0.0009 (11.9495),* (24.6547),0.0173 (5.9096),0.0094 (7.0837),0.0606 (3.6230)
Agent 447 (30),0.0320 (4.7645),0.4706 (0.5255),0.0126 (6.5206),** (34.7634),* (26.1129),0.0185 (5.7844),0.2240 (1.5020),0.0559 (3.7645)
Agent 448 (30),0.0287 (4.9612),0.8955 (0.0174),0.0134 (6.3966),* (23.7062),* (22.5625),0.0213 (5.5203),0.0970 (2.8204),0.0301 (4.8772)
Agent 485 (30),0.0225 (5.4176),0.9534 (0.0034),0.0274 (5.0508),0.0058 (8.0285),0.0002 (15.5761),0.3846 (0.7643),0.3043 (1.0690),0.4166 (0.6668)
Agent 486 (30),0.0098 (6.9985),0.7498 (0.1024),0.0241 (5.2848),0.0110 (6.7849),0.0012 (11.1972),0.1062 (2.6704),0.4461 (0.5863),0.0594 (3.6584)
Agent 487 (30),0.0103 (6.9122),0.9403 (0.0057),0.0227 (5.3967),0.0349 (4.6055),0.0050 (8.3476),0.0842 (3.0582),0.3075 (1.0550),0.0607 (3.6193)
