Expert,DDQN_1Mio,DDQN,Agent_78,Agent_82,Agent_88,Agent_89,Agent_198,Agent_297,Agent_298,Agent_311,Agent_312,Agent_317,Agent_318,Agent_319,Agent_329,Agent_355,Agent_404,Agent_416,Agent_434,Agent_435,Agent_447,Agent_448,Agent_485,Agent_486,Agent_487
611,3045,3384,3717,5395,1321,2485,2478,6010,3808,3700,6257,2706,3609,3139,2081,1185,3961,5890,2839,1827,2653,2867,4299,4825,3096
2196,8559,3384,2518,7806,1201,4462,2233,7620,601,1175,8882,3382,2306,1619,1509,4501,1384,1956,1413,1176,1616,4993,3963,3286,3390
3610,8304,3384,1316,2599,3134,889,1200,5424,3591,7006,1279,5506,2517,3237,4747,3081,4040,226,3805,5700,4681,1945,1644,1769,3160
2250,6815,3384,2817,3253,5277,4834,1395,2418,2680,7812,5104,4056,882,3563,4803,3078,2113,2281,4019,5783,3210,4113,2733,1354,1375
3802,2031,3384,1605,1879,14541,10093,1335,2142,1585,1604,6064,1082,796,4827,4642,7395,6663,3627,3548,2481,2493,6690,1436,1573,5541
7289,5339,3384,5027,1386,5018,1262,2476,3217,2041,1436,4590,5727,3045,4484,4533,2204,3128,1203,5380,4135,4631,3254,2547,5125,4288
2979,1808,3384,7042,5393,4389,2217,2883,2428,2431,1999,1767,948,4245,2894,4490,1407,1798,2774,7256,3694,1473,4126,3100,4579,1952
854,5170,3384,4080,4661,2060,3394,4109,1705,2114,4942,2127,6141,5246,2780,3696,5192,2395,3233,1643,3641,2657,3034,4802,1676,5232
6207,4712,3384,4864,2231,4722,2376,2324,3880,4548,5359,1465,3520,4976,2243,3146,1278,5557,13278,5472,4205,4250,5288,3457,1961,1107
5448,2966,3384,5680,902,5032,1202,5504,1427,3847,4272,3612,4548,2407,7161,3506,944,4480,984,4150,3402,585,2104,3943,4528,1307
4462,4451,3384,1447,3810,6351,3128,2677,2042,3460,1686,5217,2111,11651,6800,2785,4693,1093,3744,3671,4282,6011,2374,863,2720,2998
6698,234,3384,4574,2098,5243,4723,650,2889,5572,560,7790,6452,5866,3471,2209,3374,13073,5457,2494,5091,3525,2066,3684,3273,1385
3514,12874,3384,3282,651,3394,1277,2702,1148,4290,3280,1916,706,4339,2078,488,3818,2697,2738,601,1224,2804,3931,5719,6380,4514
165,6169,3384,3764,4331,4279,1974,4498,2562,2345,723,772,638,1328,5203,2569,1183,1884,5095,461,2126,3945,4398,5765,1954,4991
1681,8806,3384,2495,1615,6085,2637,1141,2737,1063,1511,2972,1518,6960,1918,2327,4497,4444,5460,3159,3406,3688,1663,3294,3875,1360
6009,4710,3384,3089,5222,4946,5151,2867,797,2067,2946,2772,1769,455,3811,1999,2640,5198,2185,6388,687,5285,2314,4184,5127,2619
2026,6951,3384,8491,3441,3115,5551,2736,1460,3255,3248,1072,6504,7273,1381,3122,2958,3032,2835,763,724,5786,2571,6011,2288,3755
1294,5405,3384,1346,3299,3981,3593,3685,4513,4287,2577,3771,3887,4247,4668,1116,1560,2508,1894,1194,5689,1339,2053,5361,1767,1458
5501,3894,5406,1456,1718,2791,2704,3337,3943,5143,3750,3378,1771,3969,5183,4903,2745,2322,4224,2383,3344,2920,2724,4671,4616,5024
2218,7188,3384,2566,1774,4442,1475,2974,1304,3517,3478,1632,6771,2260,3998,6007,1318,4652,1784,4544,1111,1962,3259,1617,3573,7602
5854,5729,3384,4603,6816,5066,5175,2202,1685,1789,1730,1530,3987,2054,3512,2339,2705,7380,2890,2808,2065,5790,1407,12466,478,3172
5400,7109,3384,2449,3113,3910,2737,4295,698,4525,2992,4077,3463,4050,5697,975,1808,2563,2015,8140,3851,4623,4961,2676,3485,7251
637,6873,3384,1051,2691,3399,2964,3272,2051,7725,1445,1755,3091,5108,1750,4987,1168,1481,3306,6913,925,3205,7794,8390,1291,4347
4663,7340,3384,2867,3923,2390,3544,3020,1323,2769,5900,3214,6725,1321,4426,3183,4315,1274,4395,1395,965,1411,2438,6613,4340,2882
3175,14832,3384,2564,3121,1689,1024,4938,10096,2434,6486,5418,6617,2101,2520,944,4519,2650,4693,1899,2724,2178,3663,1515,4427,3259
8442,5529,3384,1919,2867,1189,4763,4833,4000,2704,3757,5720,2914,3840,2005,2002,6361,1207,1438,3643,5310,4493,1113,3852,4318,1787
5818,8151,2611,2607,2937,3338,3598,5650,4730,2763,5747,3734,1541,3554,1960,1890,2268,1337,2118,560,4043,451,4233,4792,3048,3042
3395,4237,5373,3097,3880,5908,3950,4212,4361,2676,1266,3005,3365,3892,2437,3202,1261,2650,9101,833,3070,2874,5011,1732,442,4951
2374,4550,3384,2828,1046,927,1438,3911,5369,5104,5416,7695,4217,7445,2220,785,2887,4224,850,1185,1051,6441,1997,1782,3532,1584
4307,5891,3384,7825,5222,5583,2456,1896,4341,4050,1636,1372,3788,5176,1503,1706,1166,3646,2685,1999,2544,1886,4404,2387,6787,2397
2956,,,,,,,,,,,,,,,,,,,,,,,,,
9061,,,,,,,,,,,,,,,,,,,,,,,,,
2608,,,,,,,,,,,,,,,,,,,,,,,,,
7638,,,,,,,,,,,,,,,,,,,,,,,,,
7357,,,,,,,,,,,,,,,,,,,,,,,,,
1673,,,,,,,,,,,,,,,,,,,,,,,,,
6085,,,,,,,,,,,,,,,,,,,,,,,,,
4425,,,,,,,,,,,,,,,,,,,,,,,,,
4888,,,,,,,,,,,,,,,,,,,,,,,,,
12538,,,,,,,,,,,,,,,,,,,,,,,,,
3396,,,,,,,,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,,,,,,,
4047,,,,,,,,,,,,,,,,,,,,,,,,,
3130,,,,,,,,,,,,,,,,,,,,,,,,,
4797,,,,,,,,,,,,,,,,,,,,,,,,,
4950,,,,,,,,,,,,,,,,,,,,,,,,,
3293,,,,,,,,,,,,,,,,,,,,,,,,,
4067,,,,,,,,,,,,,,,,,,,,,,,,,
11596,,,,,,,,,,,,,,,,,,,,,,,,,
6235,,,,,,,,,,,,,,,,,,,,,,,,,
7062,,,,,,,,,,,,,,,,,,,,,,,,,
3296,,,,,,,,,,,,,,,,,,,,,,,,,
