Aktion_0,Aktion_1,Aktion_2,Aktion_3,Aktion_4,Aktion_5,Aktion_6,Aktion_7,Aktion_8,Aktion_9,Aktion_10,Aktion_11,Aktion_12,Aktion_13,Aktion_14,Aktion_15,Aktion_16,Aktion_17,Name
45,62,4,22,25,4,0,0,0,0,0,0,0,0,0,0,0,0,Expert
34,116,24,49,63,10,0,0,0,0,0,0,0,0,0,0,0,0,Expert
53,133,21,122,17,22,0,0,0,0,0,0,0,0,0,0,0,0,Expert
43,112,9,42,42,14,0,0,0,0,0,0,0,0,0,0,0,0,Expert
44,125,18,55,50,13,0,0,0,0,0,0,0,0,0,0,0,0,Expert
55,198,33,99,158,31,0,0,0,0,0,0,0,0,0,0,0,0,Expert
45,132,22,58,52,22,0,0,0,0,0,0,0,0,0,0,0,0,Expert
38,83,12,51,29,11,0,0,0,0,0,0,0,0,0,0,0,0,Expert
67,186,23,79,117,14,0,0,0,0,0,0,0,0,0,0,0,0,Expert
46,154,57,109,116,19,0,0,0,0,0,0,0,0,0,0,0,0,Expert
43,109,16,43,40,10,0,0,0,0,0,0,0,0,0,0,0,0,Expert
35,123,7,59,40,18,0,0,0,0,0,0,0,0,0,0,0,0,Expert
34,46,6,18,17,2,0,0,0,0,0,0,0,0,0,0,0,0,Expert
36,178,18,57,60,12,0,0,0,0,0,0,0,0,0,0,0,0,Expert
68,372,29,93,100,30,0,0,0,0,0,0,0,0,0,0,0,0,Expert
41,97,5,27,26,4,0,0,0,0,0,0,0,0,0,0,0,0,Expert
47,245,13,63,58,11,0,0,0,0,0,0,0,0,0,0,0,0,Expert
44,237,15,59,58,16,0,0,0,0,0,0,0,0,0,0,0,0,Expert
40,99,11,24,24,6,0,0,0,0,0,0,0,0,0,0,0,0,Expert
50,313,19,79,75,13,0,0,0,0,0,0,0,0,0,0,0,0,Expert
61,169,14,49,44,13,0,0,0,0,0,0,0,0,0,0,0,0,Expert
59,271,35,79,78,27,0,0,0,0,0,0,0,0,0,0,0,0,Expert
47,206,25,42,39,16,0,0,0,0,0,0,0,0,0,0,0,0,Expert
60,306,23,81,78,17,0,0,0,0,0,0,0,0,0,0,0,0,Expert
41,282,21,76,77,17,0,0,0,0,0,0,0,0,0,0,0,0,Expert
43,185,9,47,44,13,0,0,0,0,0,0,0,0,0,0,0,0,Expert
48,159,15,30,24,19,0,0,0,0,0,0,0,0,0,0,0,0,Expert
44,166,16,50,43,15,0,0,0,0,0,0,0,0,0,0,0,0,Expert
52,178,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
42,205,4,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
8,177,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
9,221,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
59,135,3,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
40,191,8,32,20,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
54,114,9,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
36,257,1,26,9,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
41,124,10,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
18,348,8,23,8,6,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
8,269,1,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
58,291,4,36,26,13,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
16,245,4,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
1,258,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
42,241,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
30,232,3,33,14,12,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
18,173,7,30,7,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
35,331,5,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
26,185,4,39,26,4,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
91,101,5,17,14,3,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
13,314,5,22,8,3,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
5,151,5,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
33,228,5,26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
48,205,8,39,9,7,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
16,270,2,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
25,206,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_74
