Iteration,Expert,Agent_74,Agent_78,Agent_82,Agent_88,Agent_89,Agent_177,Agent_194,Agent_198,Agent_201,Agent_248,Agent_249,Agent_257,Agent_258,Agent_261,Agent_296,Agent_298,Agent_300
1,62,178,200,428,198,203,136,180,201,228,197,257,164,123,334,224,333,139
2,116,205,225,423,250,213,219,44,69,258,186,174,178,171,231,320,129,410
3,133,177,148,269,251,162,236,163,209,129,235,132,252,50,131,195,299,283
4,112,221,250,243,336,247,158,67,198,397,290,140,204,251,179,333,206,254
5,125,135,199,298,559,391,140,312,193,408,137,286,132,67,89,442,138,117
6,198,191,375,152,412,103,200,196,174,199,161,218,121,152,105,231,280,194
7,132,114,363,336,266,170,183,299,172,195,256,176,340,355,213,166,131,499
8,83,257,221,263,208,238,356,177,199,213,220,187,262,221,292,231,295,183
9,186,124,323,196,257,258,90,280,132,189,162,140,135,189,200,364,243,191
10,154,348,295,159,275,138,175,185,257,140,231,198,251,102,158,234,240,320
11,109,269,196,254,251,244,351,95,221,251,176,265,98,137,187,139,385,151
12,123,291,229,220,386,449,218,173,169,233,228,104,138,59,136,294,388,136
13,46,245,209,158,239,182,212,226,135,109,241,136,148,113,74,174,236,135
14,178,258,351,321,279,153,181,168,255,203,271,248,220,237,139,130,193,209
15,372,241,208,170,336,215,179,157,84,281,204,157,438,292,266,202,122,167
16,97,232,171,384,432,249,383,267,179,264,123,113,318,86,181,239,231,148
17,245,173,344,168,227,286,297,157,201,106,176,131,229,209,118,353,451,125
18,237,331,157,283,208,313,219,211,159,164,153,238,90,128,164,279,193,378
19,99,185,262,175,215,153,174,197,133,318,291,228,292,187,326,231,265,228
20,313,101,207,137,300,171,277,227,165,193,333,255,116,41,101,215,251,161
21,169,314,305,357,374,260,200,262,160,170,300,219,188,211,76,194,215,355
22,271,151,210,228,177,183,138,272,326,270,195,210,356,102,178,219,302,168
23,206,228,158,215,204,206,161,149,241,168,285,286,126,273,302,290,428,274
24,306,205,235,246,174,383,287,100,181,234,119,135,141,44,202,292,217,290
25,282,270,279,213,200,147,286,200,328,191,127,144,268,175,459,214,190,233
26,185,206,134,299,174,176,239,94,262,303,235,219,144,205,128,330,84,205
27,159,372,226,176,229,231,243,61,320,149,247,137,115,131,290,261,193,183
28,166,246,212,156,416,172,208,126,413,373,229,95,302,94,131,265,229,319
29,0,296,174,250,139,134,380,181,216,79,292,161,234,224,247,184,427,275
30,0,151,305,430,411,254,124,279,130,162,359,139,190,275,291,238,268,134
