Id,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30
0,4,10,22,14,13,31,22,11,14,19,10,18,2,12,30,4,11,16,6,13,13,27,16,17,17,13,19,15,0,0
74,0,1,0,0,3,1,1,1,0,6,2,13,1,2,0,12,1,0,4,3,3,0,2,7,3,0,1,1,2,0
78,0,1,1,0,3,4,13,1,5,6,2,15,0,4,11,0,10,0,5,0,6,7,14,2,0,0,5,1,1,4
82,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,3
88,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,8,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,0,1,2,2,0,0,4,1,4,1,1,0,4,3,5,0,0,5,3,16,1,1,3,1,0,7,5,5,3,0
249,10,3,9,3,12,4,2,4,10,6,5,2,4,8,5,0,2,3,2,2,3,6,7,2,6,3,7,0,0,7
257,2,0,1,1,3,0,2,2,0,0,0,0,4,0,3,3,1,2,2,0,1,2,0,2,0,0,1,1,0,0
258,4,0,0,5,1,1,6,5,4,4,1,0,5,6,16,2,9,3,1,0,1,5,3,2,2,8,6,2,3,5
261,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
296,1,0,0,0,3,1,0,0,4,3,0,4,0,0,0,1,0,1,2,0,0,5,1,3,1,6,1,1,0,1
298,2,0,0,6,3,0,0,1,1,1,0,0,0,0,0,0,0,4,1,1,1,2,2,0,0,0,1,2,10,0
300,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,0,1,2,0
