Iteration,Aktion 0,Aktion 1,Aktion 2,Aktion 3,Aktion 4,Aktion 5
0,45,62,4,22,25,4
10,34,116,24,49,63,10
20,53,133,21,122,17,22
30,43,112,9,42,42,14
40,44,125,18,55,50,13
50,55,198,33,99,158,31
60,45,132,22,58,52,22
70,38,83,12,51,29,11
80,67,186,23,79,117,14
90,46,154,57,109,116,19
100,43,109,16,43,40,10
110,35,123,7,59,40,18
140,34,46,6,18,17,2
150,36,178,18,57,60,12
160,68,372,29,93,100,30
170,41,97,5,27,26,4
180,47,245,13,63,58,11
190,44,237,15,59,58,16
200,40,99,11,24,24,6
210,50,313,19,79,75,13
230,61,169,14,49,44,13
240,59,271,35,79,78,27
250,47,206,25,42,39,16
260,60,306,23,81,78,17
270,41,282,21,76,77,17
280,43,185,9,47,44,13
290,48,159,15,30,24,19
300,44,166,16,50,43,15
