Iteration,Expert,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
1,16,1,1,0,1,0,8,0,3
2,27,1,0,0,1,0,0,4,3
3,53,0,0,0,1,0,2,5,9
4,50,1,1,0,0,0,2,5,3
5,16,0,1,0,0,0,2,7,4
6,91,0,0,0,0,0,0,7,9
7,38,0,1,0,3,0,2,5,5
8,71,1,0,0,2,0,2,3,4
9,50,1,1,0,2,0,5,11,17
10,82,1,0,0,1,1,2,6,5
11,48,1,0,0,1,0,1,9,10
12,68,0,0,0,2,1,1,8,11
13,50,0,1,0,0,0,1,5,13
14,53,1,1,0,1,0,2,6,3
15,22,1,0,0,3,1,0,7,7
16,57,1,0,0,2,0,0,3,3
17,43,0,1,0,1,0,3,11,4
18,22,1,0,0,0,1,3,1,5
19,21,1,0,0,1,0,1,2,5
20,48,0,1,0,2,2,1,6,3
21,13,2,0,3,2,0,2,8,12
22,65,0,0,0,2,0,1,9,2
23,2,1,1,0,1,0,1,2,4
24,3,1,0,0,0,0,0,3,6
25,56,0,2,1,0,1,2,4,4
26,12,1,2,0,5,0,4,8,5
27,24,1,0,1,2,0,1,1,2
28,22,0,0,0,2,0,1,5,4
29,41,1,1,0,1,0,6,4,6
30,28,1,0,1,1,0,2,10,4
31,45,0,0,0,0,0,0,0,0
32,46,0,0,0,0,0,0,0,0
33,80,0,0,0,0,0,0,0,0
34,35,0,0,0,0,0,0,0,0
35,47,0,0,0,0,0,0,0,0
36,39,0,0,0,0,0,0,0,0
37,77,0,0,0,0,0,0,0,0
38,72,0,0,0,0,0,0,0,0
39,46,0,0,0,0,0,0,0,0
40,32,0,0,0,0,0,0,0,0
41,76,0,0,0,0,0,0,0,0
42,15,0,0,0,0,0,0,0,0
43,21,0,0,0,0,0,0,0,0
44,44,0,0,0,0,0,0,0,0
45,36,0,0,0,0,0,0,0,0
46,25,0,0,0,0,0,0,0,0
47,46,0,0,0,0,0,0,0,0
48,82,0,0,0,0,0,0,0,0
49,45,0,0,0,0,0,0,0,0
50,48,0,0,0,0,0,0,0,0
51,40,0,0,0,0,0,0,0,0
52,27,0,0,0,0,0,0,0,0
53,50,0,0,0,0,0,0,0,0
54,46,0,0,0,0,0,0,0,0
55,20,0,0,0,0,0,0,0,0
56,26,0,0,0,0,0,0,0,0
57,67,0,0,0,0,0,0,0,0
58,36,0,0,0,0,0,0,0,0
59,49,0,0,0,0,0,0,0,0
60,76,0,0,0,0,0,0,0,0
61,37,0,0,0,0,0,0,0,0
